Once_DEPTIME,Once_ARRTIME,Twice_1st_DEPTIME,Twice_2nd_DEPTIME,Twice_1st_ARRTIME,Twice_2nd_ARRTIME,Three_1st_DEPTIME,Three _2nd_DEPTIME,Three_3rd_DEPTIME,Three_1st_ARRTIME,Three _2nd_ARRTIME,Three_3rd_ARRTIME
570,840,570,690,730,1005,510,710,1110,560,815,955
510,1320,350,900,587,945,680,885,1140,535,825,1235
930,973,660,1140,540,903,455,570,1030,645,710,980
510,1253,1170,1275,870,950,565,840,1140,513,730,895
735,790,660,900,745,960,510,705,890,796,930,1420
720,722,630,905,920,1380,735,906,1080,959,1059,1402
735,1290,690,1110,920,1275,530,710,826,720,950,1110
465,1020,510,995,693,1260,510,890,990,825,898,1015
930,725,510,925,805,1140,660,685,855,712,1033,1235
860,695,420,1080,530,945,690,930,1060,915,1005,1100
525,605,510,900,546,933,595,775,1160,330,850,1200
585,1035,670,870,895,1370,780,960,1110,555,855,1105
990,960,350,1130,880,956,675,760,1230,520,750,965
1075,785,800,1020,690,1235,800,945,975,985,1135,1195
840,680,450,990,655,775,510,900,975,662,947,1152
1115,1060,705,900,455,935,470,630,935,815,940,1275
480,885,495,945,705,1300,748,888,940,550,920,990
360,970,510,885,823,980,600,730,1010,509,840,985
645,475,520,998,785,1230,660,970,1085,695,1035,1170
550,1065,502,1175,960,1150,780,960,1115,859,960,1440
1200,965,600,820,1030,1095,590,720,1160,550,610,1055
660,665,690,1105,945,1025,750,930,1140,668,948,1350
525,630,540,915,520,945,520,720,870,545,795,950
600,710,480,1110,910,1220,548,780,907,825,970,1115
1050,585,895,1110,545,945,615,925,1095,705,737,872
555,1085,460,1166,800,1030,780,900,1125,555,960,1150
410,980,660,1020,790,1083,630,920,1090,1115,1160,1285
735,955,490,1110,1050,1560,495,940,1050,650,940,1165
1035,855,360,690,800,1330,645,1005,1105,725,1040,1250
660,952,465,540,960,1445,927,1070,1130,665,1040,1180
960,1380,600,780,472,1010,450,660,845,860,1020,1290
405,910,450,800,760,940,700,868,1125,525,960,1050
660,605,990,1170,560,995,650,916,960,600,780,925
675,1039,495,910,670,935,510,865,1050,595,965,1395
770,870,570,1020,960,1140,645,720,825,778,915,995
480,1305,660,910,925,1218,655,945,1005,635,905,1030
630,968,525,915,655,1130,515,920,980,835,990,1110
810,580,600,1110,837,1252,530,720,930,900,1110,1275
760,1170,500,870,725,1095,570,795,1155,635,755,1180
925,820,505,1155,925,1225,555,755,1105,521,943,1206
525,1110,615,1030,705,1380,660,770,980,490,775,1265
910,1270,840,1065,1040,1265,510,750,1080,539,770,940
900,766,470,585,495,1085,480,885,1230,545,815,935
870,1285,645,870,685,920,990,1055,1200,745,945,1200
375,547,480,895,1140,1200,520,840,940,575,855,1025
600,1015,720,1130,535,950,922,1075,1135,855,935,1200
690,695,660,1055,715,995,605,750,1140,710,938,1105
570,1025,480,885,745,955,915,1070,1325,805,1019,1140
660,1055,1080,1360,1125,1310,495,690,1075,970,1080,1145
780,1145,510,1000,655,1150,630,920,1175,475,705,865
1025,680,580,920,795,1350,465,750,975,760,874,1365
1110,1035,480,1000,520,925,500,695,1075,590,870,1405
1020,1260,415,1005,815,975,495,609,730,880,960,1145
425,1005,1080,1173,990,1110,480,765,930,685,770,945
480,1055,670,720,661,1249,700,935,1030,930,975,1035
835,845,610,1050,840,950,510,675,892,535,945,1055
600,1147,520,630,555,960,510,990,1130,697,875,1026
660,735,497,900,1005,1305,590,805,1105,665,990,1425
705,1080,520,910,710,1115,495,660,950,730,820,1210
435,740,500,900,675,930,750,915,1110,760,895,1415
630,805,600,1230,1140,1390,320,900,1050,615,1050,1455
720,1060,530,810,700,1350,520,730,865,690,1020,1350
690,790,480,920,970,1050,510,975,1200,1045,1125,1275
450,1230,570,645,515,1040,510,840,1000,720,915,990
715,1280,500,905,427,1065,710,895,1175,503,625,1055
1050,980,495,875,1171,1335,540,630,900,938,1090,1145
840,940,315,1160,720,1070,585,705,1050,690,800,1335
330,1505,600,880,530,804,915,955,1035,930,1090,1345
720,920,660,820,670,760,480,810,1060,547,1040,1095
1070,955,495,900,755,955,505,1200,1355,735,1030,1260
900,970,460,835,550,950,420,1140,1410,642,970,1040
720,1000,495,1110,530,930,615,870,1010,575,822,1172
840,910,600,1145,1185,1380,540,705,1275,680,756,1484
