config,strategy,model,version,ev_id,arrival_time,charge_start_time,wait_time,soc_before_charging,config_num
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,3,2022-02-25 18:15:00,2022-02-25 22:45:00,4.5,90.25330815778128,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,3,2022-02-26 18:45:00,2022-02-27 03:15:00,8.5,87.21803785406304,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,3,2022-02-27 13:00:00,2022-02-27 13:15:00,0.25,86.91146663674702,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,3,2022-02-27 16:15:00,2022-02-27 16:30:00,0.25,89.40616538128239,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-21 18:15:00,2022-02-21 22:30:00,4.25,68.78462331617565,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-22 15:45:00,2022-02-22 22:00:00,6.25,84.68114177830894,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-23 15:15:00,2022-02-23 23:45:00,8.5,81.9594257040318,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-24 16:30:00,2022-02-24 22:30:00,6.0,90.69630071658887,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-25 07:30:00,2022-02-25 22:45:00,15.25,86.3761387891721,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-26 13:00:00,2022-02-26 13:15:00,0.25,87.89333582206164,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-26 16:15:00,2022-02-26 16:30:00,0.25,84.88777281760837,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-26 23:45:00,2022-02-27 03:15:00,3.5,84.69764803163403,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,4,2022-02-27 16:00:00,2022-02-27 16:15:00,0.25,84.14946930932004,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,5,2022-02-21 21:15:00,2022-02-21 22:15:00,1.0,70.1616789819472,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,5,2022-02-22 17:00:00,2022-02-22 22:00:00,5.0,81.881687484314,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,5,2022-02-23 18:00:00,2022-02-23 23:45:00,5.75,84.44930467089146,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,5,2022-02-24 17:30:00,2022-02-24 23:00:00,5.5,86.31386421965927,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,5,2022-02-25 17:15:00,2022-02-25 22:45:00,5.5,89.53048700424524,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,5,2022-02-26 16:00:00,2022-02-26 16:15:00,0.25,85.48346994351198,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,5,2022-02-26 22:00:00,2022-02-27 03:15:00,5.25,76.04357421438604,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,6,2022-02-21 19:00:00,2022-02-21 23:00:00,4.0,84.27218963742061,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,6,2022-02-22 17:30:00,2022-02-22 23:30:00,6.0,85.81343240396534,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,6,2022-02-23 17:30:00,2022-02-23 23:45:00,6.25,85.59976641651771,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,6,2022-02-24 17:30:00,2022-02-24 22:30:00,5.0,85.5554514926014,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,6,2022-02-25 18:15:00,2022-02-25 22:45:00,4.5,77.6552282351992,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,6,2022-02-26 13:30:00,2022-02-27 03:15:00,13.75,83.52110309530222,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,6,2022-02-27 13:15:00,2022-02-27 13:30:00,0.25,83.17319496387084,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,7,2022-02-21 17:15:00,2022-02-21 22:15:00,5.0,83.11463041720928,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,7,2022-02-22 16:30:00,2022-02-22 23:30:00,7.0,80.10846189177163,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,7,2022-02-23 18:00:00,2022-02-23 23:45:00,5.75,81.72157612501655,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,7,2022-02-24 16:15:00,2022-02-24 22:30:00,6.25,86.52293216379412,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,7,2022-02-25 16:15:00,2022-02-25 22:45:00,6.5,85.79022775613994,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,7,2022-02-26 13:15:00,2022-02-26 13:30:00,0.25,80.49729954919457,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,7,2022-02-26 16:00:00,2022-02-27 03:15:00,11.25,81.79216331962948,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,8,2022-02-21 16:00:00,2022-02-21 22:15:00,6.25,82.0720735423899,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,8,2022-02-22 12:30:00,2022-02-22 23:30:00,11.0,79.38872040594075,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,8,2022-02-23 18:15:00,2022-02-23 23:45:00,5.5,87.09773854626056,1
